Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1840.3691132223971
FDW14,OUT017,1528.576039803128
NCN55,OUT010,1882.082328185004
FDQ58,OUT017,2578.2019179227277
FDY38,OUT027,5136.3771850684225
FDH56,OUT046,1951.9762820370124
FDL48,OUT018,596.4090709692271
FDC48,OUT027,2783.708629969717
FDN33,OUT045,1489.150028525033
FDA36,OUT017,3088.63161693987
FDT44,OUT017,2022.3656350641982
FDQ56,OUT045,1333.7230934781726
NCC54,OUT019,1869.3340776366526
FDU11,OUT049,2055.208722436413
DRL59,OUT013,912.6542288275082
FDM24,OUT049,2550.943776743545
FDI57,OUT045,3270.8934572271933
DRC12,OUT018,2753.5489788029586
NCM42,OUT027,3185.5085262378266
FDA46,OUT010,1115.2768313479055
FDA31,OUT013,2827.9888491445677
NCJ31,OUT035,3878.771906267111
FDG52,OUT046,773.1019963980557
NCL19,OUT019,374.9576936738397
FDS10,OUT035,3012.9241732213763
FDX22,OUT010,1449.0976674468084
NCF19,OUT035,912.2525028448072
NCE06,OUT046,2521.9129429551117
DRC27,OUT046,3827.7026694038445
FDE21,OUT035,2058.1468269521843
NCR42,OUT019,-1371.3110251243936
FDX51,OUT018,2867.496413494901
NCR06,OUT018,418.54236384513933
FDU31,OUT027,4978.677004114619
FDU59,OUT017,2714.181747923251
FDR03,OUT027,4757.100489375
FDS49,OUT027,2779.194762837684
FDD48,OUT010,-69.21592408666675
NCF18,OUT017,3106.4171287164822
NCD43,OUT027,3091.513626545882
NCD54,OUT018,1984.0857408013799
FDY19,OUT010,-3.7663255057987044
NCY54,OUT017,2794.958200493427
NCL19,OUT018,2027.9019144636272
FDP23,OUT010,1539.5348279104114
FDC26,OUT013,1841.7467813919943
FDR14,OUT010,-1089.21160384271
NCS41,OUT035,3046.8883718135444
FDF41,OUT035,4015.8009663956204
FDU34,OUT046,1988.2135416533006
DRH11,OUT046,942.946159105968
FDM03,OUT013,1731.2378320206226
FDS31,OUT017,3056.3957452021937
FDJ20,OUT017,2126.492657514731
FDV44,OUT027,4522.113204564937
FDG02,OUT049,3135.3203974027315
FDA09,OUT013,2934.1373299519278
FDT04,OUT013,645.7152002956315
FDL58,OUT019,2276.151229142386
FDE52,OUT045,1401.3642827413805
FDW12,OUT035,2505.686407809612
FDL51,OUT017,3514.0120811890915
NCY42,OUT027,3682.217320970926
FDR07,OUT017,1695.3188627362465
FDN40,OUT045,2329.472656200093
FDB35,OUT027,2975.7710500733688
FDA22,OUT017,2757.3408753890167
NCL06,OUT046,4103.317431223664
FDI35,OUT013,2938.2324464546286
NCW42,OUT045,3400.806614157276
NCX06,OUT049,2933.8715981316795
FDC37,OUT027,3201.504541632415
FDZ14,OUT018,1689.4755296550836
DRG49,OUT049,3943.513357709671
NCG06,OUT045,3948.2922751917254
DRC36,OUT045,2711.280233917139
FDV21,OUT019,30.482214060376236
FDB53,OUT046,2321.083641658544
DRP47,OUT019,2044.5938805239934
FDA14,OUT013,2307.532931407605
DRC24,OUT035,2563.9060259415924
FDW21,OUT018,1393.1006316250198
NCH29,OUT046,1571.6005116462882
FDU58,OUT013,3065.1342858965295
FDY27,OUT017,2895.2823360854222
FDV56,OUT035,1983.9134096084827
FDT59,OUT046,3667.7418443547845
FDB23,OUT046,3648.4472002741663
FDR49,OUT045,710.4705658324657
FDB03,OUT010,1862.4598287970598
FDN39,OUT045,2629.019378865943
FDX02,OUT027,4942.047111956506
FDQ16,OUT027,3164.653966813309
FDU35,OUT018,1329.355203307941
NCT29,OUT013,1979.280693320713
